# element centroid_x centroid_y signed_dwr abs_dwr primal_residual_norm dual_correction_rms dual_solution_rms residual_dual_product marked
110 2.363059437541e-01 3.697804880222e-02 -3.747642705493e-09 3.747642705493e-09 1.633907085332e-04 1.885994256611e-05 1.692759635476e-02 3.081539378773e-09 1
111 2.495043364758e-01 1.475427007818e-02 -4.393163917903e-09 4.393163917903e-09 1.774052576551e-04 2.029794990315e-05 7.247996216768e-03 3.600963032438e-09 1
112 2.490086729516e-01 2.950854015637e-02 -4.474375437492e-09 4.474375437492e-09 1.789389452064e-04 2.071086293130e-05 1.385365088578e-02 3.705979967240e-09 1
113 2.476274283916e-01 7.354004326999e-02 -4.669383718967e-09 4.669383718967e-09 1.880548836895e-04 2.067386658067e-05 3.378190863023e-02 3.887821575240e-09 1
114 2.358367167330e-01 5.167449210017e-02 -3.807025455132e-09 3.807025455132e-09 1.652346985461e-04 1.913338248142e-05 2.347888638661e-02 3.161498686484e-09 1
115 2.607465116038e-01 5.148974488665e-02 -5.277061366949e-09 5.277061366949e-09 1.982452380450e-04 2.206116441416e-05 2.430825855877e-02 4.373520790836e-09 1
116 2.480702189095e-01 5.890142675227e-02 -4.484377502245e-09 4.484377502245e-09 1.829286425131e-04 2.021455067549e-05 2.719339704094e-02 3.697820314080e-09 1
117 9.267706447231e-02 2.370750113769e-01 7.970828848828e-11 7.970828848828e-11 1.155809898123e-04 1.385365605343e-05 8.801320251869e-02 1.601219279175e-09 0
118 9.282298540020e-02 2.116696899740e-01 -2.569528691237e-10 2.569528691237e-10 8.409396877234e-05 1.307758858791e-05 7.948971950465e-02 1.099746326329e-09 0
119 1.144783307940e-01 2.242692936765e-01 -5.880321944405e-10 5.880321944405e-10 1.251511130762e-04 1.414169040925e-05 8.475082993887e-02 1.769848295496e-09 0
120 9.999279355549e-02 2.243379983425e-01 -2.551148250766e-10 2.551148250766e-10 1.079792036040e-04 1.373987172530e-05 8.408476525120e-02 1.483620406519e-09 0
121 2.343368543651e-01 1.244843370004e-01 -4.047486353687e-09 4.047486353687e-09 1.842874794946e-04 1.857111164696e-05 5.518055541957e-02 3.422423356833e-09 1
122 2.467932564568e-01 1.026224435407e-01 -4.414410543916e-09 4.414410543916e-09 1.901173459639e-04 1.940819985942e-05 4.666681083343e-02 3.689835447211e-09 1
123 2.580755142978e-01 1.240919013402e-01 -5.336039100475e-09 5.336039100475e-09 2.154338407984e-04 2.077445078460e-05 5.696256738588e-02 4.475519723003e-09 1
124 2.464018750399e-01 1.170662272938e-01 -4.619009233858e-09 4.619009233858e-09 1.957773941275e-04 1.996653491601e-05 5.293855731936e-02 3.908996175613e-09 1
125 3.551283141098e-02 2.624120923030e-01 1.403647918638e-09 1.403647918638e-09 1.061139150437e-04 1.316116970312e-05 9.446747380767e-02 1.396583243752e-09 0
126 1.422674966161e-02 2.499386583783e-01 1.395842848060e-09 1.395842848060e-09 8.584996044299e-05 1.356017933696e-05 9.027865095203e-02 1.164140859678e-09 0
127 3.562091689709e-02 2.372811995883e-01 6.586207555236e-10 6.586207555236e-10 7.048549903435e-05 1.256023377871e-05 8.643523482762e-02 8.853143458807e-10 0
128 2.845349932323e-02 2.498773167565e-01 1.125341564583e-09 1.125341564583e-09 8.282750783725e-05 1.280202695149e-05 9.039463511750e-02 1.060359987657e-09 0
129 7.113430658771e-02 2.498133413192e-01 6.847654149266e-10 6.847654149266e-10 1.095607439151e-04 1.328887280762e-05 9.135122914275e-02 1.455938790596e-09 0
130 4.973972064250e-02 2.623807630382e-01 1.278524568142e-09 1.278524568142e-09 1.137125258611e-04 1.327985969389e-05 9.474303209186e-02 1.510086388874e-09 0
131 4.984780612862e-02 2.372498703235e-01 6.449584792150e-10 6.449584792150e-10 7.428447561120e-05 1.253585050850e-05 8.669516446361e-02 9.312190813646e-10 0
132 5.690727778627e-02 2.498146582270e-01 8.484384690671e-10 8.484384690671e-10 9.804717626813e-05 1.307067868027e-05 9.093047316228e-02 1.281543136509e-09 0
133 2.338287070494e-01 1.652996962217e-01 -2.469015115791e-09 2.469015115791e-09 1.540876902028e-04 1.434585320085e-05 7.198913669708e-02 2.210519383708e-09 0
134 2.140639552522e-01 1.641072288955e-01 -2.078768495286e-09 2.078768495286e-09 1.406304137803e-04 1.307363099194e-05 6.972000754427e-02 1.838550136007e-09 0
135 2.229416326745e-01 1.450228530476e-01 -2.193213329937e-09 2.193213329937e-09 1.405694892652e-04 1.344562468542e-05 6.280593052400e-02 1.890044594881e-09 0
136 2.236114316587e-01 1.581432593883e-01 -2.068965966717e-09 2.068965966717e-09 1.353539870992e-04 1.373429447450e-05 6.817212493551e-02 1.858991517118e-09 0
137 2.447008195011e-01 1.588074257191e-01 -4.499916115656e-09 4.499916115656e-09 2.074308142474e-04 1.873670738205e-05 7.041584179498e-02 3.886570468574e-09 1
138 2.338137451262e-01 1.385305825450e-01 -3.700627315572e-09 3.700627315572e-09 1.813725940142e-04 1.759713094019e-05 6.102880508359e-02 3.191637285829e-09 1
139 2.575524050589e-01 1.381381468848e-01 -5.054594078722e-09 5.054594078722e-09 2.152044234336e-04 1.990654022625e-05 6.299228198195e-02 4.283975511948e-09 1
140 2.453556565621e-01 1.451587183829e-01 -4.414953578738e-09 4.414953578738e-09 2.027991772535e-04 1.857380849445e-05 6.481720461634e-02 3.766753081137e-09 1
141 1.679751826952e-01 2.383149136417e-01 -3.478931510063e-09 3.478931510063e-09 2.698347962490e-04 1.999117149001e-05 9.304414975411e-02 5.394313685784e-09 1
142 1.439266409093e-01 2.240908275740e-01 -1.868142193201e-09 1.868142193201e-09 1.935046937266e-04 1.816963936276e-05 8.641290234774e-02 3.515910500014e-09 0
143 1.647664177542e-01 2.095374571969e-01 -3.158640936706e-09 3.158640936706e-09 2.063215733366e-04 1.877339535364e-05 8.278379796321e-02 3.873356466233e-09 0
144 1.588894137863e-01 2.239810661375e-01 -2.896688464778e-09 2.896688464778e-09 2.176767941892e-04 1.890507072576e-05 8.741791356852e-02 4.115195189504e-09 0
145 2.739485361988e-01 2.938537534735e-02 -6.188368971148e-09 6.188368971148e-09 2.146827594568e-04 2.380279437017e-05 1.436934030427e-02 5.110049578170e-09 1
146 2.622371340497e-01 7.346343836837e-03 -5.226908318401e-09 5.226908318401e-09 1.938239800379e-04 2.222627833391e-05 4.252094346483e-03 4.307985728109e-09 1
147 2.872371340497e-01 7.346343836837e-03 -7.184185901083e-09 7.184185901083e-09 2.299754423065e-04 2.576326549271e-05 4.439700851291e-03 5.924918376944e-09 1
148 2.744742680994e-01 1.469268767367e-02 -6.073482585719e-09 6.073482585719e-09 2.121775660874e-04 2.343690219092e-05 7.519653808330e-03 4.972784863497e-09 1
149 1.836977179578e-01 1.935500207987e-01 -1.831173856371e-09 1.831173856371e-09 1.552463207379e-04 1.354943510196e-05 7.843826375183e-02 2.103499947656e-09 0
