# element centroid_x centroid_y signed_dwr abs_dwr primal_residual_norm dual_correction_rms dual_solution_rms residual_dual_product marked
90 2.590485361010e-01 2.451240589449e-01 -1.622804779506e-07 1.622804779506e-07 1.604827377915e-03 9.159592784001e-05 1.055396365234e-01 1.469956527031e-07 0
91 3.487282098141e-01 2.956772757226e-02 -2.377968829962e-07 2.377968829962e-07 1.362667529816e-03 1.430175136355e-04 1.751250690512e-02 1.948853220262e-07 0
92 3.132504885997e-01 1.897712974408e-01 -2.194314688262e-07 2.194314688262e-07 1.601562146364e-03 1.131893679991e-04 9.238782688546e-02 1.812798071582e-07 0
93 3.472790461457e-01 5.909208308285e-02 -2.457133587863e-07 2.457133587863e-07 1.398652668810e-03 1.470868203371e-04 3.318785653321e-02 2.057233738113e-07 0
94 3.436462730639e-01 1.180103137916e-01 -2.510556745896e-07 2.510556745896e-07 1.526486290639e-03 1.353466889989e-04 6.368724603594e-02 2.066048652402e-07 0
95 3.413303815580e-01 1.472379426840e-01 -2.636349471758e-07 2.636349471758e-07 1.620888999870e-03 1.348702196368e-04 7.774431049947e-02 2.186096554194e-07 0
96 2.850890029781e-01 2.319577424937e-01 -2.002450576300e-07 2.002450576300e-07 1.694283148695e-03 9.994537323607e-05 1.046526700591e-01 1.693357616639e-07 0
97 2.303377947698e-01 2.884552945091e-01 -1.626075451669e-07 1.626075451669e-07 1.986257418203e-03 8.807606872551e-05 1.162279498228e-01 1.749417448722e-07 0
98 1.533673388008e-01 3.250760230984e-01 -1.950418307407e-08 1.950418307407e-08 1.774365002638e-03 6.055631856923e-05 1.190966226294e-01 1.074490123579e-07 0
99 1.793657189317e-01 3.176284089374e-01 -3.263037761168e-08 3.263037761168e-08 1.630506682445e-03 7.743108029289e-05 1.192780693241e-01 1.262518938465e-07 0
100 2.826966269968e-02 3.498735479728e-01 9.331388334694e-08 9.331388334694e-08 1.424902379566e-03 5.694201634945e-05 1.199047151171e-01 8.113681459364e-08 0
101 2.564301666361e-01 2.746444715750e-01 -1.994019616422e-07 1.994019616422e-07 1.990226261263e-03 9.301864083711e-05 1.153508248627e-01 1.851281417810e-07 0
102 5.642058817778e-02 3.497445537579e-01 8.276037794268e-08 8.276037794268e-08 1.499212778045e-03 5.730214463064e-05 1.204976833704e-01 8.590810743960e-08 0
103 1.121992266430e-01 3.494222501949e-01 3.626802018284e-08 3.626802018284e-08 1.822128466445e-03 5.910851761405e-05 1.229182101973e-01 1.077033125539e-07 0
